,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,0.0,0.16740781527691545,0.23284109495272295,0.24540854529547027,0.2446358359503007,,0.24962465658193028,0.25393428227444426,0.2643906559194611,0.27015616114633934,0.25583192830170237,0.25918946609101384,0.26306020956545373,,,0.24436860689865683,,0.32554607034707095,,,,,,,0.2549054955304704,0.2566668701647463,,,0.25523495931100204,0.2592893014439266,0.2589024907313385,,,0.2623648264001765,0.2555377029749439,0.2545530350657155,0.25502480865991495,0.24581732198924106,0.23792025857437374,,0.2411580043861649,0.24938256652241947,0.2465188187408237,0.24988533870256338,0.24937477403172828,0.24664946149024508,0.2520311360809504,0.30014385152401735,0.29788376711290243,0.27703336005940044,0.27441682504703147,0.2998871388709898,0.2898891364687527,0.2766896488846686,0.27152205685875497,0.2472110268236178,0.26391658872576573,0.26758733772142596,0.2603500491923273,0.24993606627568987,0.24843594671174693,0.25021385560242215,0.24473196637983533,0.23815766717342474,0.24216469355894124,0.2539637697778034,0.2529553749099984,,0.26066513860583584,0.2526208850271546,0.24976007562032135,0.24091003290531213,0.25124853196188895,0.2612155805290454,0.26914680585696016,0.25682655634185614,0.2565908887138223,0.2614872164331904,0.2700419749288679,0.26131136798840116,0.26095452535496566,0.26767371462508793,0.2844214219726337,,0.26318867218637365,,,,,,,,,0.2613529067663657,0.2604298735532454,,,,,,,,,,,0.25607245284383484,0.24506580114463855,,,,,,,,,,,,0.2566074715955769,0.25205452192414946,,,0.25615991552047485,0.25621429222719944,0.2525755152611747,0.26856182349669433,0.260671540298803,0.24753312717505435,0.2658551525057571,0.2625864746978786,0.25326711694804166,0.2720460987021116,,,,,,,0.2740935736178946,0.2633206864688455,0.25399188172194137,0.24711924372614258,0.2642595700449882,0.2704777988405807,0.2747187345912702,0.26087830501486087,0.2618263969210151,0.26525054898338624,0.25489332264973297,0.25628465222152325,0.3796643740217881,0.35724315700718584,0.2569781492279313,0.24841591377053798,0.27224850371415255,0.26287815992956926,0.26718190714781215,0.2554673503356347,0.2584566400879605,0.26233487505009256,0.2853806310741442,0.2913754452886412,0.27709532897244443,0.25154586404795415,0.2518145816323197,0.25939748527657597,0.26252302513717884,0.2595244733339148,0.25290868699489366,0.26811128995099826,0.293137742057486,0.3772195186643788,0.38003635617958775,0.25991336348276,0.26397638810262986,0.2673627893156968,0.2679561546742505,0.2606257635870029,0.28217291138619455,0.27217648930626703,0.25590803487119473,0.2648351757042058,0.266112480896141,0.2805682911227719,0.30213822493653175,0.2903005228572993,0.2813351260528642,0.2802761387231687,0.2736238331092977,0.27516174437025753,0.2824795958565108,0.2747611800400808,0.26777812146843816,0.2663498307188551,0.26891312901038583,0.2723037235061998,0.26998885731224503,0.27894270944467575,,0.2625991357615443,0.25862465208671886,0.2567161239303786,0.2660793903163504,0.2694510775192499,0.27835863801193156,0.27685348234039603,0.2634014100503978,0.2646054526183343,0.2695968882351997,0.282091710359443,0.290000384073324,0.26974134451102144,0.2968465867458002,0.28582965529732945,0.2546826433687416,0.25536781164080746,0.2657775945092563,0.2622126050631683,0.26659749502610636,0.2686199729599886,0.2613237804600054,0.25419358494440947,0.2588623193473777,0.2641574018580224,0.2670189991217505,0.26565097952359257,0.27080406889728703,0.27948936449921524,0.26863545659079646,0.2774894681968735,0.2706246093740387,0.2615455664694178,0.2768036354528151
19,,,,,,,,,,,,,,,,,,,0.16740781527691545,0.0,0.1667168695262174,0.25037743078986285,0.25218605068560673,,0.2522918318368812,0.251945921758458,0.25796894237835455,0.26741401389581143,0.26248879817539733,0.26213351626227405,0.2586629125398153,,,0.24240038743928302,,0.33798399747383273,,,,,,,0.2541531261132436,0.25654670878011315,,,0.25865184611122655,0.25861289911193114,0.25751158822692705,,,0.2618460961673141,0.2544992799070589,0.254214749948428,0.25416543584682677,0.24566189376774247,0.24305127279307973,,0.2502222000157012,0.24876847536605173,0.2439014852391092,0.2481861116372871,0.24965702200513684,0.24894067689627694,0.24899672473817397,0.3043519585326393,0.3044798435958849,0.28517091001102096,0.27799021735253954,0.29749607227074654,0.284736081971555,0.27194061763021,0.270018814705487,0.25672315521694006,0.27340319051875106,0.27686620444788373,0.2648639719849619,0.251282598585065,0.24790027516720392,0.2518468224080673,0.2438325631769773,0.2401142837694031,0.2482082134383873,0.2599941615151963,0.25896059675371386,,0.27086705985958226,0.25957923939994126,0.2522736810226725,0.25111734281440207,0.25915793592310565,0.2555755374738406,0.261560570458936,0.25128632034154685,0.25224454096472465,0.26280803645612133,0.2678810893164697,0.26338372082647404,0.26210171111117286,0.26695791006421915,0.27941087542590015,,0.25972423934289784,,,,,,,,,0.2542553042311934,0.25638821117349153,,,,,,,,,,,0.2580403767773747,0.25143299276047204,,,,,,,,,,,,0.2619306080912938,0.26258870601465545,,,0.2576779319691907,0.257229999202997,0.2577370865165987,0.270166333918116,0.25990809527492564,0.2438898079566944,0.2707365544083825,0.26785627523879735,0.2538059768834467,0.2759935249064378,,,,,,,0.2752856967332796,0.2619208427535553,0.254165682445605,0.2461965099272141,0.26820754092324983,0.27724430988935783,0.27717063671319897,0.2619043817373566,0.2597599915808066,0.26181802975403323,0.25512915241774364,0.2609686629791913,0.3883317926399168,0.36164661107871,0.25780508418564585,0.25426697479607274,0.2745864681494673,0.2607908414037464,0.26732597003633046,0.2589544127928649,0.26219036162636744,0.26614205088898496,0.28709461298721095,0.29415835962727255,0.2796829467847409,0.2523947826369742,0.251328394984577,0.2611572693825064,0.25784099306029323,0.259042294203108,0.2573213331330842,0.26589990719134526,0.3050548361384568,0.39168862851367636,0.39375188603005,0.26550353641486935,0.2659154072192125,0.2711869650042454,0.2723699003547535,0.2636049337994292,0.2834733823776017,0.27535152940050733,0.25867930941604717,0.26540440071790405,0.26790565347038453,0.28106132624466895,0.301800728978111,0.2838118613029542,0.27942536896956405,0.2817368206681094,0.2744610158699572,0.27447363278836084,0.2802060593127049,0.274415413151529,0.264620285385741,0.2558174166208405,0.26680030311470493,0.27400779839947936,0.26908712650035005,0.277333085400036,,0.2670651841272605,0.26323766819596506,0.26068898633978643,0.26535260496404955,0.2672829262550402,0.2759200859204381,0.2762666258099317,0.26412053006465785,0.2627722958712259,0.26632076707840674,0.2800858141522712,0.2897090845709619,0.26623661774801766,0.2971411548961652,0.29073723529004425,0.2575308243769874,0.2560664707988464,0.2669386668546868,0.25771394961862276,0.2692917187937006,0.2662814258461577,0.2557250376922049,0.2573682057052719,0.26146374014188084,0.2564065599380599,0.26210903771250427,0.262604744129154,0.2650650879687783,0.27349709617778045,0.26334930722671646,0.27088698607791034,0.2687221486557791,0.2601853675293011,0.27107741197352203
20,,,,,,,,,,,,,,,,,,,0.23284109495272295,0.1667168695262174,0.0,0.18934988324080318,0.2347960152157291,,0.24035335987907816,0.24635092555026827,0.25723541023997915,0.25908371273249675,0.2529233504971953,0.25520985290765563,0.25714305790872494,,,0.2372841314872843,,0.32557472231625095,,,,,,,0.25035602224911524,0.25072820028546305,,,0.2525539702629768,0.2501714485712254,0.24946316070813332,,,0.2592246419724185,0.2528236656431304,0.24914063820703872,0.25035205412740974,0.2435642324478374,0.2468054920429163,,0.24424004374425898,0.24684417810074757,0.24493928168583232,0.24228940535104423,0.24700216519988172,0.24649024548698736,0.24757328101667592,0.2971521960506126,0.29511013631585237,0.27629502747515106,0.26892007290566583,0.2959069594057497,0.28309587259782276,0.2622321026207086,0.25497093400889925,0.2503278914692937,0.26169038561993563,0.26775996311096323,0.26408157205931104,0.25111304072592594,0.24923145031361257,0.25036302845554487,0.24200066570711315,0.2403927043897985,0.24359847630520326,0.25464404534019025,0.254373463205499,,0.26859422401933286,0.26331639631995013,0.25447340651794864,0.24766599429063724,0.2538268621324562,0.25120095697366873,0.25973876295225384,0.24945931774657606,0.25276896415835526,0.261290362379033,0.2614133611465568,0.2581718079707037,0.26018231709553147,0.2700976227437784,0.28564890668013687,,0.26120755514156496,,,,,,,,,0.254157151329553,0.25041795366438097,,,,,,,,,,,0.25465553481778846,0.24425394291563315,,,,,,,,,,,,0.262203853443287,0.26133998809813586,,,0.2578003194137638,0.2593905539804947,0.26010778743347474,0.2669381062437695,0.2627117611135044,0.24736784605201562,0.2703918910531612,0.2640462507677598,0.2511527370640558,0.2724885851377153,,,,,,,0.27730613764284145,0.25982475184515375,0.25250938102208526,0.24430172656549445,0.2628638482116301,0.2741295120849432,0.27855754346054706,0.26161293202465985,0.25923691507320973,0.2607735800965037,0.24907343978715607,0.2573433441451878,0.38302727324700975,0.3535124018516035,0.2508897927172024,0.2531662541502985,0.2764090731380511,0.26065667788922153,0.2683976687414906,0.2598424513515622,0.26298653387356136,0.2658595329153009,0.28444626654477817,0.28675643230886694,0.27710423429143216,0.25412521322512316,0.2521590581308415,0.2591514712391893,0.25999555761540794,0.2590459655484132,0.25860045326183345,0.26991815272845643,0.30121965854444227,0.3857327903603859,0.38867273267557406,0.26512549989450335,0.2675380265293949,0.27189992842225275,0.2758372786933153,0.2672934835076731,0.2822004093135443,0.2719090778043255,0.2565449327144858,0.2592277453098252,0.26445703785627434,0.2836711381142653,0.30305103210973033,0.2875582516442372,0.2826822345805692,0.2851417165324506,0.27708932293895944,0.2783251914114569,0.2811270601632668,0.27525616466381536,0.268506091485709,0.26100218096298494,0.26899352652826,0.2707312540864882,0.26509207623589814,0.2731352787528223,,0.26737035999489545,0.2666859690064391,0.2616690237413542,0.2646133792513503,0.2681159956763159,0.2780084683838412,0.2829381942899255,0.26786093189976995,0.26274513543602024,0.26454327468433764,0.27791981966935086,0.28913600549096996,0.26641328164282935,0.29097680869910697,0.28052504730790745,0.2546636538464368,0.2549464133962987,0.264332633292823,0.2581736321329376,0.26871715829475884,0.2650659163027032,0.2558966085557443,0.2547990461980449,0.2614844622356695,0.2554468487834419,0.26326692585696115,0.2624696569466037,0.26467271342429205,0.2738729779000814,0.26638026053044045,0.2720718235774941,0.26172590927788125,0.2561614295543384,0.27178365308259295
21,,,,,,,,,,,,,,,,,,,0.24540854529547027,0.25037743078986285,0.18934988324080318,0.0,0.14907831068706134,,0.2477462415424467,0.2574616259951919,0.27494706196463803,0.27762465621462057,0.26259557511790066,0.2636877780282087,0.27786760463863597,,,0.25423336499562826,,0.3322765384618648,,,,,,,0.2548185500800189,0.262114911232797,,,0.2659145335252488,0.26726752028041006,0.2607006153738785,,,0.27043810116288314,0.2640096227248429,0.25945288687520746,0.2553481594653868,0.2521147437073507,0.2566641563208839,,0.2564806286289723,0.2693072049716982,0.26941514227320396,0.2576915808686105,0.2473312230696479,0.2453842241621899,0.2566254838051199,0.3058987850594524,0.30563371700948516,0.28567142495502607,0.28012973904186883,0.317784044794159,0.3012686184051386,0.27546924129941924,0.2666051929241117,0.25765730535968895,0.2645927601854967,0.25833905381012234,0.2672158091218689,0.26793594560828954,0.2632682548420069,0.26319226558371056,0.2534339349655512,0.25063923769737173,0.25031504849871233,0.2588423418287353,0.26106487526807515,,0.27864458375999446,0.26946216671719253,0.2602476861210604,0.2473334245893488,0.26347468295320264,0.27037999452398875,0.27773989516469416,0.26826136209451873,0.26855443620948183,0.2694785853292416,0.27370046057654346,0.26903745456946315,0.2672499163552411,0.27275870442124883,0.2981214243949909,,0.2801885844415569,,,,,,,,,0.2723106765602691,0.2697068768253703,,,,,,,,,,,0.27003342426549076,0.2549549210222459,,,,,,,,,,,,0.270618932298443,0.26579435168310167,,,0.26770268472960357,0.2709135225519618,0.2721610637971118,0.27619310776831324,0.2732561091784793,0.2703628969726153,0.29621347144481036,0.289263062676516,0.2700248905101413,0.28607660353194025,,,,,,,0.2886327331225389,0.27456374535499073,0.26566530393120175,0.25911787767372996,0.2758899685183339,0.2848536747012062,0.28305667848890526,0.26465216254729446,0.2715641048597342,0.27427207930168607,0.26315790273274076,0.2770356952843138,0.3955695596967566,0.36988758128206756,0.258694768250202,0.2581303013898836,0.29068608020658215,0.28095353763710507,0.2805823546656659,0.26815147521373506,0.2650364087647466,0.2756051741665453,0.29923597121988277,0.30080466224707375,0.285040351736856,0.26518175805623334,0.26880428963649794,0.27120065423829753,0.2707534513596538,0.27828861265372323,0.27493636352163536,0.27911125719743535,0.30693982563044425,0.38589085601451123,0.38592794018601134,0.2768630372681851,0.2770284470876201,0.2814065441085961,0.27832693520669466,0.27493106622038305,0.29977608065005157,0.28617501806213763,0.2637264335398379,0.26883042545462027,0.27757425412298004,0.2930571555090619,0.3131798672696419,0.3043034690191936,0.2961417742789826,0.2968271728205554,0.2917209156531275,0.29152059716990586,0.2974600313821757,0.28860965954395057,0.28389627831062014,0.28467648375327276,0.28890476883890737,0.2788534340839957,0.27788869699101115,0.288008845431646,,0.2773159552221495,0.27382825542904216,0.2732117061133778,0.28409374525022346,0.28886884383820743,0.29464804483875207,0.29331354579978014,0.2807583706927013,0.2789733885909138,0.28305085449535405,0.2921370223346945,0.3038559716631621,0.2844901305189364,0.30491917367723326,0.29382593137162866,0.2710222096313538,0.27481747305770376,0.28372094726212466,0.2755721156147396,0.2821160653788475,0.27583469116667186,0.26723815195906697,0.26821598633481225,0.2766984732657613,0.27558519219490807,0.28235767978516335,0.28331045012551,0.28392250334980096,0.2948873609616781,0.28814852635427857,0.3022795794243165,0.2899981866366341,0.2752976868595581,0.2900280192719685
22,,,,,,,,,,,,,,,,,,,0.2446358359503007,0.25218605068560673,0.2347960152157291,0.14907831068706134,0.0,,0.23985223165392502,0.2586350640287478,0.2755718885233492,0.275902776231368,0.257808245141587,0.2614732635822909,0.2831555193860631,,,0.24770239889303255,,0.30487979397281684,,,,,,,0.24699364005600966,0.260447533447752,,,0.2678404296575353,0.2598496713986754,0.24979552533148383,,,0.27883215563791225,0.2692954997553342,0.26212486932981427,0.25528767112354744,0.24376834352100188,0.25130199164079153,,0.25381190902342426,0.2646122957522534,0.26351155709265917,0.25676460475464513,0.2544399253682991,0.24405669081789247,0.2542739971425583,0.28366427889289747,0.28302062725361693,0.26692221728290955,0.2631044105165988,0.29187257957354285,0.2735983751296527,0.2583922082788376,0.25254925253501204,0.24221094144805932,0.2533408247547283,0.26181134315825405,0.26973405312304194,0.26669938859467224,0.25911761445081866,0.2589654232284805,0.24595360831529064,0.23974318789135796,0.23684854140454842,0.2483054950518013,0.25439525799890267,,0.2635801770109444,0.26399936551358166,0.262793470760522,0.24695972659840398,0.25292431097484774,0.2691464420516909,0.2808309951683878,0.26152388306446994,0.26535026807188333,0.2754273896606229,0.2744074005794302,0.26615009097577563,0.27217493948742866,0.2850152109898187,0.3069652850557688,,0.28100472932455706,,,,,,,,,0.2501578158554682,0.2443656646620634,,,,,,,,,,,0.26920851068736446,0.2497732962523978,,,,,,,,,,,,0.26924970565584616,0.2612010507241594,,,0.26829808127196336,0.2711749547284664,0.27044117536497275,0.28204222793643297,0.27678562711450977,0.2611094345069707,0.27519279226398075,0.2721237960887228,0.2699874597068606,0.2836985330860552,,,,,,,0.2934239660287618,0.27325544557594494,0.2636267459586982,0.2584743958508633,0.2677843510741514,0.27965184687359695,0.2868323682146385,0.26366981876377266,0.2593951954035806,0.26544841078256,0.26203473162662494,0.25545783954787954,0.35907813224112256,0.3354867471072628,0.246533570938975,0.2534260239097596,0.2917769816527328,0.28001417707093706,0.28291659403189057,0.268453194500237,0.2637851769770139,0.2653995867539342,0.27664207657742956,0.27505991926592344,0.26500039421200833,0.2558688379903596,0.2652940878171491,0.2702077288936379,0.26740870470784434,0.27493696151211927,0.27440564785351407,0.2838373837564194,0.28916014786973193,0.372528878031918,0.3752418611918617,0.26867122812162747,0.2806415392288404,0.28613283705593834,0.2823403552317969,0.27524427403995744,0.3016322713722149,0.29080913358167687,0.26478132526605563,0.26677646526277476,0.2752207713246423,0.29698101067480753,0.32141665777300277,0.3132096980489828,0.3029520610461604,0.30519621882692854,0.2973744813600477,0.2922230865392583,0.29703360093297676,0.29199012029550697,0.28820868374864633,0.28579913260254547,0.29319042891649716,0.2764946720097899,0.2747618484770499,0.29571614983627315,,0.28283347252779195,0.2723002359527637,0.2702441003849659,0.28504708811084145,0.2905089350224732,0.2995053920376855,0.29464040311374035,0.2820476145680305,0.2849350641567516,0.2900036172122222,0.2994127007013918,0.3138456788457147,0.2889375513386155,0.2845058168984756,0.2790782922398831,0.27102743105810956,0.26957688923355855,0.2779271838354684,0.2742470796203873,0.28720772195911326,0.27776246019029055,0.2670021924033035,0.2623335853964307,0.2701223558450208,0.2776601696703685,0.2876314921336982,0.2810447663722735,0.28379476435339873,0.298817067041175,0.2875684539395645,0.28904149096203063,0.2759362430268289,0.26964955280591707,0.2891329449110087
